Owner,Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kev,028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999998
Kev,3to5UxKsozb4T6CfwHuhLJ,Kamikaze,Lil Mosey,Northsbest (Extended),0.792,0.5710000000000001,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999
Kev,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
Kev,4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037000000000000005,0.33899999999999997,0.0404,0.195,0.22699999999999998,100.051
Kev,4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037000000000000005,0.33899999999999997,0.0404,0.195,0.22699999999999998,100.051
Kev,4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037000000000000005,0.33899999999999997,0.0404,0.195,0.22699999999999998,100.051
Kev,4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037000000000000005,0.33899999999999997,0.0404,0.195,0.22699999999999998,100.051
Kev,6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
Kev,028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999998
Kev,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
Kev,6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
Kev,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,Calma (Remix),0.826,0.773,11,-4.218,0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899
Kev,028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999998
Kev,6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
